Date,Open,High,Low,Close,Adj Close,Volume
2016-11-17,218.050003,219.059998,217.919998,218.990005,214.646622,69797200
2016-11-18,219.070007,219.270004,218.289993,218.500000,214.166336,86265800
2016-11-21,219.169998,220.179993,219.000000,220.149994,215.783615,72402600
2016-11-22,220.509995,220.789993,219.729996,220.580002,216.205093,67429000
2016-11-23,219.979996,220.759995,219.750000,220.699997,216.322693,54690100
2016-11-25,221.100006,221.559998,221.009995,221.520004,217.126434,37872300
2016-11-28,221.160004,221.479996,220.360001,220.479996,216.107071,76572500
2016-11-29,220.520004,221.440002,220.169998,220.910004,216.528534,69886700
2016-11-30,221.630005,221.820007,220.309998,220.380005,216.009033,113291800
2016-12-01,220.729996,220.729996,219.149994,219.570007,215.215134,79040500
2016-12-02,219.669998,220.250000,219.259995,219.679993,215.322937,74840300
2016-12-05,220.649994,221.399994,220.419998,221.000000,216.616745,67837800
2016-12-06,221.220001,221.740005,220.660004,221.699997,217.302887,59877400
2016-12-07,221.520004,224.669998,221.380005,224.600006,220.145355,110738100
2016-12-08,224.570007,225.699997,224.259995,225.149994,220.684448,99714400
2016-12-09,225.410004,226.529999,225.369995,226.509995,222.017456,88005800
2016-12-12,226.399994,226.960007,225.759995,226.250000,221.762619,102016100
2016-12-13,227.020004,228.339996,227.000000,227.759995,223.242661,110477500
2016-12-14,227.410004,228.229996,225.369995,225.880005,221.399963,142501800
2016-12-15,226.160004,227.809998,225.889999,226.809998,222.311523,124972600
2016-12-16,226.009995,226.080002,224.669998,225.039993,221.876724,144174300
2016-12-19,225.250000,226.020004,225.080002,225.529999,222.359833,90341100
2016-12-20,226.149994,226.570007,225.880005,226.399994,223.217606,89838800
2016-12-21,226.250000,226.449997,225.770004,225.770004,222.596466,67909000
2016-12-22,225.600006,225.740005,224.919998,225.380005,222.211945,56219100
2016-12-23,225.429993,225.720001,225.210007,225.710007,222.537308,36251400
2016-12-27,226.020004,226.729996,226.000000,226.270004,223.089447,42672500
2016-12-28,226.570007,226.589996,224.270004,224.399994,221.245697,64095000
2016-12-29,224.479996,224.889999,223.839996,224.350006,221.196426,47719500
2016-12-30,224.729996,224.830002,222.729996,223.529999,220.387939,108998300
2017-01-03,225.039993,225.830002,223.880005,225.240005,222.073914,91366500
2017-01-04,225.619995,226.750000,225.610001,226.580002,223.395081,78744400
2017-01-05,226.270004,226.580002,225.479996,226.399994,223.217606,78379000
2017-01-06,226.529999,227.750000,225.899994,227.210007,224.016220,71559900
2017-01-09,226.910004,227.070007,226.419998,226.460007,223.276779,46265300
